174430,Gloomhaven,1,1,4,120,60,120,8.98893,15376,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,12,25928,2017,3.7543
161936,Pandemic Legacy: Season 1,2,2,4,60,60,60,8.6614,26063,https://cf.geekdo-images.com/original/img/P_SwsOtPLqgk2ScCgI2YrI9Rg6I=/0x0/pic2452831.png,13,41605,2015,2.821
182028,Through the Ages: A New Story of Civilization,3,2,4,240,180,240,8.60673,12352,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2Br6iMvjR9q0=/0x0/pic2663291.jpg,14,15848,2015,4.3678
167791,Terraforming Mars,4,1,5,120,120,120,8.38461,26004,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,12,33340,2016,3.2456
12333,Twilight Struggle,5,2,2,180,120,180,8.33954,31301,https://cf.geekdo-images.com/original/img/ZPnnm7v2RTJ6fAZeeseA5WbC9DU=/0x0/pic361592.jpg,13,42952,2005,3.5518
187645,Star Wars: Rebellion,6,2,4,240,180,240,8.47439,13336,https://cf.geekdo-images.com/original/img/QT959HnYmUxmUqSMp0V7LxF1-tA=/0x0/pic2737530.png,14,20682,2016,3.6311
169786,Scythe,7,1,5,115,90,115,8.29158,29219,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,14,38279,2016,3.3609
120677,Terra Mystica,8,2,5,150,60,150,8.23703,29309,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,12,32637,2012,3.9505
193738,Great Western Trail,9,2,4,150,75,150,8.28574,13521,https://cf.geekdo-images.com/original/img/U3RnjWjCHNkm4LVps_HNDHeuUI4=/0x0/pic3113247.jpg,12,16869,2016,3.7011
180263,The 7th Continent,10,1,4,1000,5,1000,8.67228,6057,https://cf.geekdo-images.com/original/img/iQDBaRJ2LxJba_M7gPZj24eHwBc=/0x0/pic2648303.jpg,14,12543,2017,2.8578
220308,Gaia Project,11,1,4,150,60,150,8.68217,4860,https://cf.geekdo-images.com/original/img/FpQ2ODFHSgDGfEpskL0Uu2xyYMA=/0x0/pic3763556.jpg,12,6243,2017,4.2966
84876,The Castles of Burgundy,12,2,4,90,30,90,8.12383,31613,https://cf.geekdo-images.com/original/img/w3EsrbF6-Gvr5_qBeF7YL1Rslnk=/0x0/pic1176894.jpg,12,43992,2011,3.0272
173346,7 Wonders Duel,13,2,2,30,30,30,8.14559,32165,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,10,49800,2015,2.2307
115746,War of the Ring (Second Edition),14,2,4,180,150,180,8.37781,8217,https://cf.geekdo-images.com/original/img/sAJOZ0c2_gZqXjn2npRgpFvshKo=/0x0/pic1215633.jpg,13,13216,2012,4.0418
102794,Caverna: The Cave Farmers,15,1,7,210,30,210,8.1177,21145,https://cf.geekdo-images.com/original/img/xLuIh5VNsD57GXfcBox_ZF1jH4o=/0x0/pic1790789.jpg,12,26974,2013,3.7823
3076,Puerto Rico,16,2,5,150,90,150,8.06034,52849,https://cf.geekdo-images.com/original/img/RvdWBkmDks7AN8sodR4PyVcponA=/0x0/pic158548.jpg,12,61011,2002,3.2932
31260,Agricola,17,1,5,150,30,150,8.02172,53481,https://cf.geekdo-images.com/original/img/L-UBO3rBOmvIrZHZLSXOypyAUPw=/0x0/pic259085.jpg,12,64468,2007,3.6326
96848,Mage Knight Board Game,18,1,4,240,60,240,8.11816,21524,https://cf.geekdo-images.com/original/img/AGyvx6NYd6Kq4HUztAObQVLEFWY=/0x0/pic1083380.jpg,14,31976,2011,4.2406
183394,Viticulture Essential Edition,19,1,6,90,45,90,8.17385,12037,https://cf.geekdo-images.com/original/img/6KQbzbjV6HlxDZeqPwmrmR3gn6w=/0x0/pic2649952.jpg,13,16732,2015,2.9307
205637,Arkham Horror: The Card Game,20,1,2,120,60,120,8.2564,12047,https://cf.geekdo-images.com/original/img/EQ0Kl-bH9RCI5aJWVLnAlAfo00E=/0x0/pic3122349.jpg,14,22612,2016,3.2205
205059,Mansions of Madness: Second Edition,21,1,5,180,120,180,8.20129,12396,https://cf.geekdo-images.com/original/img/0jncNnMHVZqa4u3oMwVm2Zn84q8=/0x0/pic3118622.jpg,14,19680,2016,2.6623
