174430,1
174430,2
174430,3
174430,4
174430,5
161936,6
161936,7
182028,8
182028,9
182028,10
167791,10
167791,6
167791,11
167791,12
167791,13
12333,14
12333,15
12333,16
187645,4
187645,5
187645,17
187645,12
187645,16
169786,9
169786,10
169786,4
169786,5
169786,12
169786,13
120677,9
120677,10
120677,3
120677,13
193738,18
180263,1
180263,8
180263,2
180263,19
180263,12
220308,9
220308,10
220308,12
220308,13
84876,20
84876,21
84876,13
173346,22
173346,8
173346,23
173346,9
115746,1
115746,3
115746,4
115746,5
115746,24
115746,13
115746,16
102794,25
102794,10
102794,3
102794,26
3076,23
3076,10
3076,26
31260,25
31260,10
31260,26
96848,1
96848,2
96848,3
96848,4
183394,10
183394,26
205637,1
205637,8
205637,27
205637,3
205637,19
205637,24
205059,1
205059,2
205059,3
205059,4
205059,19
205059,5
205059,28
205059,29
124361,22
124361,10
124361,30
170216,3
170216,4
170216,5
170216,31
209010,3
209010,4
209010,5
209010,32
164153,1
164153,4
164153,5
164153,17
164153,12
164153,16
164928,21
164928,33
164928,34
25613,9
25613,10
175914,10
175914,11
2651,10
2651,11
177736,10
177736,11
177736,21
177736,29
233078,9
233078,10
233078,35
233078,15
233078,12
233078,36
233078,16
72125,9
72125,4
72125,12
72125,36
72125,16
221107,6
221107,2
221107,7
55690,1
55690,3
55690,19
55690,37
55690,5
55690,31
28720,10
28720,11
28720,38
121921,1
121921,2
121921,4
121921,24
35677,23
35677,10
35677,11
35677,30
126163,22
126163,9
126163,10
126163,26
126163,31
124742,39
124742,8
124742,27
124742,12
171623,20
171623,10
171623,21
171623,34
230802,40
68448,22
68448,8
68448,23
68448,9
122515,23
122515,10
122515,30
122515,41
122515,13
178900,8
178900,42
178900,43
178900,44
178900,45
162886,46
162886,6
162886,3
162886,4
162886,31
162886,41
162886,13
18602,23
18602,10
18602,21
146021,1
146021,3
146021,4
146021,19
146021,24
146508,1
146508,37
146508,29
146508,12
28143,8
28143,9
28143,10
28143,12
28143,36
12493,9
12493,35
12493,15
12493,12
12493,36
12493,16
110327,23
110327,3
157354,25
157354,47
157354,3
157354,31
62219,25
62219,6
62219,48
205896,39
205896,3
205896,5
205896,31
205896,35
205896,16
159675,10
159675,26
159675,11
93,41
163412,40
163412,29
216132,10
40834,8
40834,21
132531,9
132531,20
132531,10
132531,12
132531,36
201808,1
201808,3
37111,39
37111,42
37111,17
37111,15
37111,12
37111,36
37111,44
103885,49
103885,39
103885,27
103885,5
103885,17
103885,12
103885,16
150376,39
150376,42
150376,19
150376,50
172386,10
2511,42
2511,28
2511,24
2511,51
2511,44
73439,20
73439,10
73439,21
125153,10
42,22
42,9
42,13
144733,11
144733,52
102680,22
102680,15
36218,8
36218,21
30549,7
194655,40
194655,22
194655,31
521,53
185343,10
185343,12
127023,22
127023,4
127023,5
127023,31
104162,1
104162,2
104162,3
104162,4
104162,5
34635,20
34635,48
161970,42
